word,count
the,64006
to,48800
and,43240
of,42363
a,39959
I,39746
is,30561
in,25145
that,21698
you,13696
for,12285
have,12056
it,11810
be,11663
my,10842
not,10270
are,10128
with,9474
was,8877
as,8137
The,7675
we,7518
but,7386
on,7164
or,6326
can,6064
all,5925
they,5608
an,5384
people,5340
at,5216
about,5112
who,5090
what,5081
do,5064
like,5046
-,4989
our,4972
I'm,4798
your,4701
has,4689
so,4667
by,4629
when,4553
think,4536
don't,4492
from,4474
more,4325
one,4292
me,4166
their,4096
will,4028
just,3922
It,3754
than,3739
this,3556
it's,3548
if,3501
because,3496
no,3491
get,3285
which,3234
always,3161
had,3153
really,3073
very,3058
only,3038
good,2990
would,2936
up,2911
never,2885
out,2879
there,2874
want,2870
It's,2859
We,2855
love,2803
been,2797
make,2782
know,2737
it.,2716
If,2703
he,2669
his,2632
You,2621
life,2539
great,2413
My,2410
And,2320
how,2311
But,2265
time,2261
I've,2258
being,2230
most,2180
into,2158
things,2156
them,2133
go,2127
going,2081
any,2053
much,2050
were,2028
way,2023
work,2022
some,2014
lot,1921
A,1916
When,1915
other,1871
every,1845
us,1841
something,1834
man,1820
those,1799
its,1760
should,1701
world,1692
There,1668
you're,1665
In,1665
see,1660
thing,1658
where,1653
must,1641
own,1629
best,1616
am,1581
that's,1536
then,1489
got,1482
feel,1439
without,1420
take,1415
even,1413
many,1389
first,1380
need,1363
believe,1339
could,1305
men,1282
come,1253
can't,1247
say,1234
through,1225
human,1209
kind,1207
little,1185
me.,1176
may,1150
made,1145
women,1143
God,1134
find,1129
over,1114
live,1111
right,1111
ever,1103
They,1100
still,1097
life.,1091
years,1075
better,1073
also,1064
new,1061
two,1059
too,1059
doing,1052
look,1048
didn't,1046
change,1033
music,1029
does,1003
give,1000
same,995
power,991
"it,",979
them.,966
between,964
He,960
To,958
part,954
hope,935
now,931
back,918
important,915
these,912
art,907
long,906
government,906
nothing,892
money,892
put,888
become,887
her,886
family,883
What,882
So,877
real,872
around,865
"me,",864
respect,861
day,859
makes,853
such,851
cannot,847
different,831
did,830
anything,826
health,816
relationship,816
wanted,804
after,803
fear,802
That's,789
there's,787
try,781
I'd,780
doesn't,774
experience,774
comes,773
that.,767
As,766
home,762
big,754
business,748
she,747
him,747
thought,747
hard,746
keep,743
before,742
each,740
sense,734
person,732
learning,726
world.,726
freedom,722
American,721
tell,720
able,719
everything,714
truth,714
movies,710
having,708
time.,701
All,700
play,700
making,697
amazing,697
That,696
down,696
war,693
whole,692
"life,",692
knowledge,687
someone,684
For,684
age,678
future,678
People,676
myself,672
they're,671
care,667
well,664
history,663
science,656
faith,655
peace,651
old,650
trust,649
used,648
success,646
why,646
mom,646
society,644
food,644
trying,644
children,642
people.,642
use,640
dad,639
often,630
beauty,621
country,619
let,612
One,607
This,601
nature,600
There's,597
against,594
done,593
enough,592
means,591
place,587
getting,581
learn,579
both,578
working,576
you.,576
happiness,576
less,571
young,566
"know,",564
technology,564
true,563
No,563
cool,562
rather,561
death,558
education,556
until,550
bad,547
morning,544
positive,536
end,535
another,534
do.,532
alone,530
show,529
understand,526
write,524
idea,523
"is,",520
we're,520
might,519
strength,519
off,516
marriage,516
funny,515
certain,514
help,509
talk,509
school,508
away,508
mind,507
religion,507
car,506
living,505
political,502
far,501
went,494
greatest,491
matter,489
last,488
famous,487
"that,",484
three,484
poetry,483
public,482
whether,480
read,474
few,474
actually,474
"time,",473
upon,470
"people,",468
politics,468
Our,468
kids,467
while,467
pretty,463
yourself,458
travel,458
woman,457
said,457
Every,454
I'll,448
high,444
happy,444
fact,443
friends,442
came,442
courage,439
takes,434
dreams,434
next,429
sometimes,426
started,425
free,424
sure,423
start,421
isn't,421
remember,418
wasn't,416
job,413
looking,412
found,408
work.,407
"world,",407
sort,407
America,406
point,406
almost,405
things.,405
everyone,404
reason,404
sad,396
quite,396
failure,395
heart,393
once,393
learned,393
times,391
call,388
way.,388
social,386
mother,384
lives,378
whatever,378
sports,377
bring,376
probably,376
father,374
past,371
bit,370
writing,368
"say,",368
else,367
parents,367
small,367
intelligence,367
called,364
knew,363
beautiful,363
deal,362
wisdom,360
here,360
since,357
personal,357
form,354
goes,353
yet,351
New,350
thinking,350
set,350
felt,350
all.,349
future.,349
within,348
United,348
others,348
state,346
one's,345
loved,343
attitude,343
under,342
"you,",339
alone.,339
us.,338
mean,338
love.,337
music.,337
you've,336
gives,334
create,333
money.,331
enjoy,331
strong,330
imagination,329
order,329
thing.,328
run,328
"them,",327
seems,326
least,323
single,323
told,320
knows,320
left,318
lost,316
playing,316
design,315
given,314
especially,314
difficult,314
child,313
year,313
full,312
feeling,311
somebody,310
today,310
romantic,310
itself,309
up.,309
though,309
family.,309
spend,309
needs,308
gave,307
teacher,307
At,306
leadership,305
wants,303
themselves,303
anyone,303
interested,302
simply,302
face,302
Americans,302
